smiles,hepg2_pIC50,hct116_pIC50,n_tasks_observed
C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3nc(C)c(C)nc3C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CNC(=O)[C@@H]6CCCN6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,5.46,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3nc(C)c(C)nc3C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CNC(=O)[C@H](C)N)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,5.64,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3nc(C)c(C)nc3C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CNC)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,5.35,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3nc(C)c(C)nc3C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)[C@@H](N)C(C)C)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,5.23,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3nc(C)c(C)nc3C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)[C@@H](N)CCCCN)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,5.62,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3nc(C)c(C)nc3C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)[C@@H](N)CO)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,5.39,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3nc(C)c(C)nc3C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)[C@@H](N)[C@@H](C)CC)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,4.89,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3nc(C)c(C)nc3C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)[C@@H](N)[C@@H](C)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,5.44,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3nc(C)c(C)nc3C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)[C@@H]6CCC(=O)N6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,5.23,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3nc(C)c(C)nc3C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)[C@@H]6CCCN6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,5.34,,1
