row_id,smiles,status,n_atoms,coord_mean_abs,hepg2_pIC50,hct116_pIC50
970,COc1cc(/C=C/C(=O)c2ccc(N)c(-c3ccc(F)cc3)c2)cc(OC)c1OC,uff_not_converged,52,2.844351053237915,5.38,
971,COc1cc(/C=C/C(=O)c2ccc(N)c(-c3ccc(F)cc3)c2)ccc1O,ok,45,2.1145272254943848,5.37,
972,COc1cc(/C=C/C(=O)c2ccc(OCCCCCC(=O)NO)cc2)cc(OC)c1OC,uff_not_converged,61,3.0329864025115967,6.27,
973,COc1cc(/C=C/C(=O)c2cccc(-c3cccc(F)c3)c2)ccc1O,ok,43,2.0793967247009277,5.17,
974,COc1cc(/C=C/C(C)=C/C(C)=O)oc(=O)c1C,ok,34,2.0078094005584717,4.09,
975,COc1cc(/C=C/C(C)=O)oc(=O)c1C,ok,27,1.7510576248168945,4.07,
976,COc1cc(/C=C/CC(=O)OCCCOC(=O)[C@]23CCC(C)(C)C[C@H]2[C@H]2C(=O)C=C4[C@@]5(C)C=C(C#N)C(=O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]2(C)CC3)ccc1OCc1ccc(B2OC(C)(C)C(C)(C)O2)cc1,uff_not_converged,144,3.1097171306610107,5.26,
977,COc1cc(/C=C/c2nnc(NC(=O)c3cc(OC)c(OC)c(OC)c3)s2)cc(OC)c1OC,uff_not_converged,59,3.356781244277954,6.55,
978,COc1cc(/C=C/c2nnc(NC(=O)c3cc(OC)c(OC)c(OC)c3Br)s2)c(Br)c(OC)c1OC,uff_not_converged,59,3.351107358932495,6.7,
979,COc1cc(/C=C/c2nnc(NC(=O)c3ccc(Br)cc3)s2)c(Br)c(OC)c1OC,uff_not_converged,47,2.7501027584075928,6.7,
980,COc1cc(/C=C/c2nnc(NC(=O)c3ccc(Cl)cc3)s2)c(Br)c(OC)c1OC,uff_not_converged,47,2.9255197048187256,6.75,
981,COc1cc(/C=C/c2nnc(NC(=O)c3ccc(F)cc3)s2)c(Br)c(OC)c1OC,uff_not_converged,47,2.7503459453582764,6.62,
982,COc1cc(/C=C/c2nnc(NC(=O)c3cccc(Br)c3)s2)c(Br)c(OC)c1OC,uff_not_converged,47,2.907933235168457,6.8,
983,COc1cc(/C=C/c2nnc(NC(=O)c3cccc(Cl)c3)s2)c(Br)c(OC)c1OC,uff_not_converged,47,2.932929754257202,6.82,
984,COc1cc(/C=C/c2nnc(NC(=O)c3cccc(F)c3)s2)c(Br)c(OC)c1OC,uff_not_converged,47,2.7564635276794434,6.77,
985,COc1cc(/C=C/c2nnc(NC(=O)c3cccc(O)c3)s2)c(Br)c(OC)c1OC,uff_not_converged,48,2.8411989212036133,6.66,
986,COc1cc(/C=C/c2nnc(NC(=O)c3cccc(O)c3)s2)cc(OC)c1OC,uff_not_converged,48,3.1635191440582275,6.58,
987,COc1cc(/C=C/c2nnc(NC(=O)c3ccccc3)s2)c(Br)c(OC)c1OC,uff_not_converged,47,2.867290496826172,6.75,
988,COc1cc(/C=C/c2nnc(NC(=O)c3ccccc3Br)s2)c(Br)c(OC)c1OC,uff_not_converged,47,2.8086724281311035,6.6,
989,COc1cc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc(NC(=O)c2cn(Cc3cc(OC)c(OC)c(OC)c3)nn2)c1OC,uff_not_converged,81,2.7917656898498535,5.47,
990,COc1cc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc(NC(=O)c2cn(Cc3ccc(F)cc3)nn2)c1OC,uff_not_converged,69,2.6584837436676025,5.87,
991,COc1cc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc(NC(=O)c2cn(Cc3cccc(Oc4ccccc4)c3)nn2)c1OC,uff_not_converged,80,2.931528329849243,5.4,
992,COc1cc(C(=O)Nc2nnc(/C=C/c3cc(OC)c(OC)c(OC)c3Br)s2)cc(OC)c1OC,uff_not_converged,59,3.490539789199829,6.68,
