cell_line,activity_id,assay_chembl_id,molecule_chembl_id,canonical_smiles,target_pref_name,target_organism,assay_type,standard_type,standard_relation,standard_value,standard_units,pchembl_value_final,pchembl_source,pchembl_value_raw,data_validity_comment,standard_value_molar,standard_value_nM,pchembl_backcalc_molar,pchembl_backcalc_nM,p_from_standard,p_delta_abs
HCT116,76967,CHEMBL689627,CHEMBL319373,COc1cc2c(cc1OC)-c1[nH]c3ccc(Br)cc3c1CC(=O)N2,HCT-116,Homo sapiens,F,GI50,=,1584.89,nM,5.800001,fallback_from_standard_value_units,,,1.58489e-06,1584.89,1.58489e-06,1584.889543,5.800001,0.0
HCT116,76968,CHEMBL858677,CHEMBL319373,COc1cc2c(cc1OC)-c1[nH]c3ccc(Br)cc3c1CC(=O)N2,HCT-116,Homo sapiens,F,GI50,=,3162.28,nM,5.5,fallback_from_standard_value_units,,,3.16228e-06,3162.28,3.162278e-06,3162.27766,5.5,0.0
HCT116,78065,CHEMBL689626,CHEMBL318471,O=C1Cc2c([nH]c3c(Cl)cccc23)-c2ccccc2N1,HCT-116,Homo sapiens,F,GI50,>,100000.0,nM,4.0,fallback_from_standard_value_units,,,0.0001,100000.0,0.0001,100000.0,4.0,0.0
HCT116,80393,CHEMBL689627,CHEMBL50894,O=C1Cc2c([nH]c3ccc([N+](=O)[O-])cc23)-c2ccccc2N1,HCT-116,Homo sapiens,F,GI50,=,199.53,nM,6.699992,fallback_from_standard_value_units,,,1.9953e-07,199.53,1.9953e-07,199.529907,6.699992,0.0
HCT116,80394,CHEMBL858677,CHEMBL50894,O=C1Cc2c([nH]c3ccc([N+](=O)[O-])cc23)-c2ccccc2N1,HCT-116,Homo sapiens,F,GI50,=,39.81,nM,7.400008,fallback_from_standard_value_units,,,3.981e-08,39.81,3.981e-08,39.809984,7.400008,0.0
HCT116,81110,CHEMBL686467,CHEMBL438369,CC(=O)O[C@H]1C(=O)[C@@]2(C)C([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](OC(=O)OCc4ccccc4)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)COC1C[C@@H]2O,HCT-116,Homo sapiens,F,IC50,=,30.0,nM,7.52,pchembl_value,7.52,,3e-08,30.0,3.02e-08,30.199517,7.522879,0.002879
HCT116,81561,CHEMBL689626,CHEMBL99803,O=C1Cc2c(n(CCO)c3ccc(Br)cc23)-c2ccccc2N1,HCT-116,Homo sapiens,F,GI50,=,15848.93,nM,4.8,fallback_from_standard_value_units,,,1.584893e-05,15848.93,1.5848932e-05,15848.931925,4.8,0.0
HCT116,82617,CHEMBL689626,CHEMBL98501,Cc1cccc2c3c([nH]c12)-c1ccccc1NC(=O)C3,HCT-116,Homo sapiens,F,GI50,=,15848.93,nM,4.8,fallback_from_standard_value_units,,,1.584893e-05,15848.93,1.5848932e-05,15848.931925,4.8,0.0
HCT116,82620,CHEMBL689626,CHEMBL316940,O=C1Cc2c([nH]c3ccccc23)-c2cc(Br)ccc2N1,HCT-116,Homo sapiens,F,GI50,>,100000.0,nM,4.0,fallback_from_standard_value_units,,,0.0001,100000.0,0.0001,100000.0,4.0,0.0
HCT116,83586,CHEMBL689626,CHEMBL98275,ONC1=Nc2ccccc2-c2[nH]c3ccc(Br)cc3c2C1,HCT-116,Homo sapiens,F,GI50,=,6309.57,nM,5.2,fallback_from_standard_value_units,,,6.30957e-06,6309.57,6.309573e-06,6309.573445,5.2,0.0
HCT116,84230,CHEMBL686467,CHEMBL300136,COC(=O)O[C@@H](C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3ccccc3)C3[C@]4(OC(C)=O)COC4C[C@H](O)[C@@]3(C)C(=O)[C@H](OC(C)=O)C(=C1C)C2(C)C)[C@@H](NC(=O)c1ccccc1)c1ccccc1,HCT-116,Homo sapiens,F,IC50,>,80.0,nM,7.09691,fallback_from_standard_value_units,,,8e-08,80.0,8e-08,80.000002,7.09691,0.0
