cell_line,activity_id,assay_chembl_id,molecule_chembl_id,canonical_smiles,target_pref_name,target_organism,assay_type,standard_type,standard_relation,standard_value,standard_units,pchembl_value_final,pchembl_source,pchembl_value_raw,data_validity_comment,standard_value_molar,standard_value_nM,pchembl_backcalc_molar,pchembl_backcalc_nM,p_from_standard,p_delta_abs
HepG2,193521,CHEMBL698436,CHEMBL278480,O=c1nc(/N=C/N(c2ccccc2)c2ccccc2)ccn1C1CSC(CO)O1,HepG2,Homo sapiens,F,EC50,=,50.0,nM,7.3,pchembl_value,7.30,,5e-08,50.0,5.0119e-08,50.118723,7.30103,0.00103
HepG2,205358,CHEMBL698436,CHEMBL141,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,HepG2,Homo sapiens,F,EC50,=,200.0,nM,6.7,pchembl_value,6.70,,2e-07,200.0,1.99526e-07,199.526231,6.69897,0.00103
HepG2,210189,CHEMBL698436,CHEMBL18509,COc1ccc(N(/C=N/c2ccn(C3CSC(CO)O3)c(=O)n2)c2ccc(OC)cc2)cc1,HepG2,Homo sapiens,F,EC50,=,30.0,nM,7.52,pchembl_value,7.52,,3e-08,30.0,3.02e-08,30.199517,7.522879,0.002879
HepG2,220777,CHEMBL698436,CHEMBL418365,CN(C)/C=N/c1ccn(C2CSC(CO)O2)c(=O)n1,HepG2,Homo sapiens,F,EC50,=,10.0,nM,8.0,pchembl_value,8.00,,1e-08,10.0,1e-08,10.0,8.0,0.0
HepG2,221936,CHEMBL698436,CHEMBL18676,O=c1nc(/N=C/N(c2ccc(F)cc2)c2ccc(F)cc2)ccn1C1CSC(CO)O1,HepG2,Homo sapiens,F,EC50,=,10.0,nM,8.0,pchembl_value,8.00,,1e-08,10.0,1e-08,10.0,8.0,0.0
HepG2,228000,CHEMBL694354,CHEMBL17239,CCCCCCCCCCCCC(=O)N1CCC(C(C)CO)CC1,HepG2,Homo sapiens,F,IC50,=,12.0,nM,7.92,pchembl_value,7.92,,1.2e-08,12.0,1.2023e-08,12.022644,7.920819,0.000819
HepG2,239550,CHEMBL694354,CHEMBL418176,CC(C)CCCC(C)CCCC(C)N1CCCCC1,HepG2,Homo sapiens,F,IC50,=,30000.0,nM,4.52,pchembl_value,4.52,,3e-05,30000.0,3.0199517e-05,30199.517204,4.522879,0.002879
HepG2,257264,CHEMBL694354,CHEMBL17168,CCCCCCCCCCCC(=O)N1CC[C@H]2[C@H](C)[C@@H](O)CC[C@]2(C)C1,HepG2,Homo sapiens,F,IC50,=,0.7,nM,9.15,pchembl_value,9.15,,7e-10,0.7,7.08e-10,0.707946,9.154902,0.004902
HepG2,259988,CHEMBL694354,CHEMBL17737,CCCCCCCCCCCCN1CCC(C(C)CO)CC1,HepG2,Homo sapiens,F,IC50,=,40.0,nM,7.4,pchembl_value,7.40,,4e-08,40.0,3.9811e-08,39.810717,7.39794,0.00206
HepG2,269569,CHEMBL694356,CHEMBL171878,CC(=O)OC[C@@H]1C=C[C@H](n2cc(F)c(N)nc2=O)O1,HepG2,Homo sapiens,F,IC50,>,100000.0,nM,4.0,fallback_from_standard_value_units,,,0.0001,100000.0,0.0001,100000.0,4.0,0.0
HepG2,272140,CHEMBL694356,CHEMBL355426,O=C1NC(O)C(F)=CN1[C@H]1C=C[C@@H](CO)O1,HepG2,Homo sapiens,F,IC50,=,59300.0,nM,4.23,pchembl_value,4.23,,5.93e-05,59300.0,5.8884366e-05,58884.365536,4.226945,0.003055
HepG2,273299,CHEMBL694356,CHEMBL2368321,Nc1nc(=O)n([C@@H]2C=C[C@@H](CO)O2)cc1F,HepG2,Homo sapiens,F,IC50,>,100000.0,nM,4.0,fallback_from_standard_value_units,,,0.0001,100000.0,0.0001,100000.0,4.0,0.0
HepG2,281767,CHEMBL694356,CHEMBL2368322,O=c1[nH]c(=O)n([C@@H]2C=C[C@@H](CO)O2)cc1F,HepG2,Homo sapiens,F,IC50,=,37100.0,nM,4.43,pchembl_value,4.43,,3.71e-05,37100.0,3.7153523e-05,37153.52291,4.430626,0.000626
HepG2,286451,CHEMBL694356,CHEMBL123292,C[C@@H]1C[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C(=O)[C@@H](C)C1,HepG2,Homo sapiens,F,IC50,=,2500.0,nM,5.6,pchembl_value,5.60,,2.5e-06,2500.0,2.511886e-06,2511.886432,5.60206,0.00206
HepG2,287625,CHEMBL694356,CHEMBL354904,CCCCC(=O)OC[C@@H]1C=C[C@H](n2cc(F)c(N)nc2=O)O1,HepG2,Homo sapiens,F,IC50,>,100000.0,nM,4.0,fallback_from_standard_value_units,,,0.0001,100000.0,0.0001,100000.0,4.0,0.0
HepG2,288913,CHEMBL694356,CHEMBL185,O=c1[nH]cc(F)c(=O)[nH]1,HepG2,Homo sapiens,F,IC50,=,37900.0,nM,4.42,pchembl_value,4.42,,3.79e-05,37900.0,3.801894e-05,38018.939632,4.421361,0.001361
