cell_line,activity_id,assay_chembl_id,molecule_chembl_id,canonical_smiles,target_pref_name,target_organism,assay_type,standard_type,standard_relation,standard_value,standard_units,pchembl_value_final,pchembl_source,pchembl_value_raw,data_validity_comment
HepG2,272140,CHEMBL694356,CHEMBL355426,O=C1NC(O)C(F)=CN1[C@H]1C=C[C@@H](CO)O1,HepG2,Homo sapiens,F,IC50,=,59300.0,nM,4.23,pchembl_value,4.23,
HepG2,273299,CHEMBL694356,CHEMBL2368321,Nc1nc(=O)n([C@@H]2C=C[C@@H](CO)O2)cc1F,HepG2,Homo sapiens,F,IC50,>,100000.0,nM,4.0,fallback_from_standard_value_units,,
HepG2,281767,CHEMBL694356,CHEMBL2368322,O=c1[nH]c(=O)n([C@@H]2C=C[C@@H](CO)O2)cc1F,HepG2,Homo sapiens,F,IC50,=,37100.0,nM,4.43,pchembl_value,4.43,
HepG2,286451,CHEMBL694356,CHEMBL123292,C[C@@H]1C[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C(=O)[C@@H](C)C1,HepG2,Homo sapiens,F,IC50,=,2500.0,nM,5.6,pchembl_value,5.60,
HepG2,287625,CHEMBL694356,CHEMBL354904,CCCCC(=O)OC[C@@H]1C=C[C@H](n2cc(F)c(N)nc2=O)O1,HepG2,Homo sapiens,F,IC50,>,100000.0,nM,4.0,fallback_from_standard_value_units,,
HepG2,288913,CHEMBL694356,CHEMBL185,O=c1[nH]cc(F)c(=O)[nH]1,HepG2,Homo sapiens,F,IC50,=,37900.0,nM,4.42,pchembl_value,4.42,
HepG2,294970,CHEMBL698432,CHEMBL333003,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CCC(O)C[C@H](O)CC(=O)[O-])[C@]21C.[Na+],HepG2,Homo sapiens,F,IC50,=,452.0,nM,6.34,pchembl_value,6.34,
HepG2,296401,CHEMBL694356,CHEMBL355081,CC(=O)Nc1nc(=O)n([C@H]2C=C[C@@H](CO)O2)cc1F,HepG2,Homo sapiens,F,IC50,>,100000.0,nM,4.0,fallback_from_standard_value_units,,
HepG2,297489,CHEMBL694355,CHEMBL121756,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@]21C,HepG2,Homo sapiens,F,IC50,=,7.0,nM,8.15,pchembl_value,8.15,
HepG2,297695,CHEMBL694356,CHEMBL366529,Nc1nc(=O)n([C@H]2C=C[C@@H](CO)O2)cc1I,HepG2,Homo sapiens,F,IC50,>,100000.0,nM,4.0,fallback_from_standard_value_units,,
HepG2,298701,CHEMBL698432,CHEMBL332201,Cc1cc(-c2nc(C(C)C)n(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c2-c2ccc(F)cc2)cc(C)c1Cl.[Na+],HepG2,Homo sapiens,F,IC50,=,0.9,nM,9.05,pchembl_value,9.05,
HepG2,298704,CHEMBL698432,CHEMBL333760,CC(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,HepG2,Homo sapiens,F,IC50,=,2.5,nM,8.6,pchembl_value,8.60,
HepG2,298893,CHEMBL694356,CHEMBL169434,Nc1nc(=O)n([C@H]2C=C[C@@H](CO)O2)cc1Br,HepG2,Homo sapiens,F,IC50,>,100000.0,nM,4.0,fallback_from_standard_value_units,,
HepG2,300101,CHEMBL694355,CHEMBL333307,O=C([O-])C[C@H](O)C[C@H](O)/C=C/n1c(C(F)(F)F)nc(-c2ccc(F)cc2)c1-c1ccc(F)cc1.[Na+],HepG2,Homo sapiens,F,IC50,=,15.8,nM,7.8,pchembl_value,7.80,
HepG2,301560,CHEMBL694356,CHEMBL169267,O=c1[nH]c(=O)n([C@@H]2C=C[C@H](CO)O2)cc1F,HepG2,Homo sapiens,F,IC50,=,35400.0,nM,4.45,pchembl_value,4.45,
HepG2,301572,CHEMBL694356,CHEMBL169277,CCCNc1nc(=O)n([C@H]2C=C[C@@H](CO)O2)cc1F,HepG2,Homo sapiens,F,IC50,>,100000.0,nM,4.0,fallback_from_standard_value_units,,
HepG2,302567,CHEMBL694355,CHEMBL120932,CC(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],HepG2,Homo sapiens,F,IC50,=,5.3,nM,8.28,pchembl_value,8.28,
HepG2,302709,CHEMBL694356,CHEMBL171286,CCCC(=O)OC[C@@H]1C=C[C@H](n2cc(F)c(N)nc2=O)O1,HepG2,Homo sapiens,F,IC50,>,100000.0,nM,4.0,fallback_from_standard_value_units,,
HepG2,303847,CHEMBL694356,CHEMBL109831,Nc1nc(=O)n([C@H]2C=C[C@@H](CO)O2)cc1F,HepG2,Homo sapiens,F,IC50,>,100000.0,nM,4.0,fallback_from_standard_value_units,,
HepG2,307969,CHEMBL694627,CHEMBL121200,CC(C)=CCC/C(C)=C/CC/C(C)=C/CCC1(C)CCc2cc(O)c(C)c(C)c2O1,HepG2,Homo sapiens,F,IC50,=,5900.0,nM,5.23,pchembl_value,5.23,
HepG2,307970,CHEMBL694628,CHEMBL121200,CC(C)=CCC/C(C)=C/CC/C(C)=C/CCC1(C)CCc2cc(O)c(C)c(C)c2O1,HepG2,Homo sapiens,F,IC50,=,2800.0,nM,5.55,pchembl_value,5.55,
HepG2,307971,CHEMBL871986,CHEMBL121200,CC(C)=CCC/C(C)=C/CC/C(C)=C/CCC1(C)CCc2cc(O)c(C)c(C)c2O1,HepG2,Homo sapiens,F,IC50,=,3000.0,nM,5.52,pchembl_value,5.52,
HepG2,332298,CHEMBL694628,CHEMBL121500,CC(C)=CCC/C(C)=C/CC/C(C)=C/CCC1(C)CCc2c(C)c(O)c(C)c(C)c2O1,HepG2,Homo sapiens,F,IC50,=,94000.0,nM,4.03,pchembl_value,4.03,
HepG2,345740,CHEMBL693797,CHEMBL185,O=c1[nH]cc(F)c(=O)[nH]1,HepG2,Homo sapiens,F,IC50,=,85000.0,nM,4.07,pchembl_value,4.07,
HepG2,346457,CHEMBL698438,CHEMBL321473,Nc1cc(CO)cc(Nc2c3ccccc3nc3ccccc23)c1,HepG2,Homo sapiens,F,IC50,=,1400.0,nM,5.85,pchembl_value,5.85,
HepG2,347104,CHEMBL693797,CHEMBL105,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,HepG2,Homo sapiens,F,IC50,=,270.0,nM,6.57,pchembl_value,6.57,
HepG2,347762,CHEMBL696821,CHEMBL53463,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,HepG2,Homo sapiens,F,IC50,=,120.0,nM,6.92,pchembl_value,6.92,
HepG2,348099,CHEMBL692128,CHEMBL17289,N#CN=C(NCCCCCCOc1ccc(Cl)cc1)Nc1ccncc1,HepG2,Homo sapiens,F,IC50,=,1245.0,nM,5.91,pchembl_value,5.91,
HepG2,349106,CHEMBL698438,CHEMBL335568,CN(C)CCNC(=O)c1cc(-c2cc(NC(=O)CCCC(=O)Nc3cc(CO)cc(Nc4c5ccccc5nc5ccccc45)c3)cn2C)cn1C,HepG2,Homo sapiens,F,IC50,=,68000.0,nM,4.17,pchembl_value,4.17,
HepG2,350437,CHEMBL696819,CHEMBL348434,O=c1cc2sc3ccccc3nc-2c2cccnc12,HepG2,Homo sapiens,F,IC50,=,110.0,nM,6.96,pchembl_value,6.96,
HepG2,351844,CHEMBL696821,CHEMBL1554,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,HepG2,Homo sapiens,F,IC50,=,10.0,nM,8.0,pchembl_value,8.00,
HepG2,352074,CHEMBL701906,CHEMBL306257,Nc1nc(O)c2ncn(/C=C3/CC3CO)c2n1,HepG2,Homo sapiens,F,IC50,=,10000.0,nM,5.0,pchembl_value,5.00,
HepG2,352179,CHEMBL692128,CHEMBL17364,CC1C(=O)N(CCCCCCCOc2ccc(Cl)cc2)/C(=N\C#N)N1c1ccncc1,HepG2,Homo sapiens,F,IC50,=,359.0,nM,6.45,pchembl_value,6.45,
HepG2,352186,CHEMBL692128,CHEMBL16532,N#C/N=C1\N(CCCCCCCOc2ccc(Cl)cc2)C(=O)C(c2ccccc2)N1c1ccncc1,HepG2,Homo sapiens,F,IC50,=,380.0,nM,6.42,pchembl_value,6.42,
