cell_line,activity_id,assay_chembl_id,molecule_chembl_id,canonical_smiles,target_pref_name,target_organism,assay_type,standard_type,standard_relation,standard_value,standard_units,pchembl_value_final,pchembl_source,pchembl_value_raw,data_validity_comment,standard_value_molar,standard_value_nM,pchembl_backcalc_molar,pchembl_backcalc_nM,p_from_standard,p_delta_abs
HepG2,346457,CHEMBL698438,CHEMBL321473,Nc1cc(CO)cc(Nc2c3ccccc3nc3ccccc23)c1,HepG2,Homo sapiens,F,IC50,=,1400.0,nM,5.85,pchembl_value,5.85,,1.4e-06,1400.0,1.412538e-06,1412.537545,5.853872,0.003872
HepG2,347104,CHEMBL693797,CHEMBL105,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,HepG2,Homo sapiens,F,IC50,=,270.0,nM,6.57,pchembl_value,6.57,,2.7e-07,270.0,2.69153e-07,269.15348,6.568636,0.001364
HepG2,347762,CHEMBL696821,CHEMBL53463,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,HepG2,Homo sapiens,F,IC50,=,120.0,nM,6.92,pchembl_value,6.92,,1.2e-07,120.0,1.20226e-07,120.226443,6.920819,0.000819
HepG2,348099,CHEMBL692128,CHEMBL17289,N#CN=C(NCCCCCCOc1ccc(Cl)cc1)Nc1ccncc1,HepG2,Homo sapiens,F,IC50,=,1245.0,nM,5.91,pchembl_value,5.91,,1.245e-06,1245.0,1.230269e-06,1230.268771,5.904831,0.005169
HepG2,349106,CHEMBL698438,CHEMBL335568,CN(C)CCNC(=O)c1cc(-c2cc(NC(=O)CCCC(=O)Nc3cc(CO)cc(Nc4c5ccccc5nc5ccccc45)c3)cn2C)cn1C,HepG2,Homo sapiens,F,IC50,=,68000.0,nM,4.17,pchembl_value,4.17,,6.8e-05,68000.0,6.7608298e-05,67608.297539,4.167491,0.002509
HepG2,350437,CHEMBL696819,CHEMBL348434,O=c1cc2sc3ccccc3nc-2c2cccnc12,HepG2,Homo sapiens,F,IC50,=,110.0,nM,6.96,pchembl_value,6.96,,1.1e-07,110.0,1.09648e-07,109.64782,6.958607,0.001393
HepG2,351844,CHEMBL696821,CHEMBL1554,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,HepG2,Homo sapiens,F,IC50,=,10.0,nM,8.0,pchembl_value,8.00,,1e-08,10.0,1e-08,10.0,8.0,0.0
HepG2,352074,CHEMBL701906,CHEMBL306257,Nc1nc(O)c2ncn(/C=C3/CC3CO)c2n1,HepG2,Homo sapiens,F,IC50,=,10000.0,nM,5.0,pchembl_value,5.00,,1e-05,10000.0,1e-05,10000.0,5.0,0.0
HepG2,352179,CHEMBL692128,CHEMBL17364,CC1C(=O)N(CCCCCCCOc2ccc(Cl)cc2)/C(=N\C#N)N1c1ccncc1,HepG2,Homo sapiens,F,IC50,=,359.0,nM,6.45,pchembl_value,6.45,,3.59e-07,359.0,3.54813e-07,354.813389,6.444906,0.005094
HepG2,352186,CHEMBL692128,CHEMBL16532,N#C/N=C1\N(CCCCCCCOc2ccc(Cl)cc2)C(=O)C(c2ccccc2)N1c1ccncc1,HepG2,Homo sapiens,F,IC50,=,380.0,nM,6.42,pchembl_value,6.42,,3.8e-07,380.0,3.80189e-07,380.189396,6.420216,0.000216
