canonical_smiles,pIC50
COc1ccc(CCn2cc(-c3ccc(OC)c(OC)c3)c3c4cc(OC)c(OC)cc4oc(=O)c32)cc1OC,4.52
COc1ccc(CCn2cc(-c3ccc(OC)c(OC)c3)c3c4cc(OC)c(OC)cc4oc(=O)c32)cc1OC,4.4
COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c(-c2cc(OC)c(OC)c(OC)c2)c(C(=O)OC)n1-c1ccc(OC)c(OC)c1,7.3
COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c(-c2cc(OC)c(OC)c(OC)c2)c(C(=O)OC)n1-c1ccc(OC)c(OC)c1,6.4
COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c(-c2cc(OC)c(OC)c(OC)c2)c(C(=O)OC)n1-c1ccc(OC)c(OC)c1,4.6
COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c(-c2cc(OC)c(OC)c(OC)c2)c(C(=O)OC)n1-c1ccc(OC)c(OC)c1,4.6
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,7.7
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,6.89
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,6.52
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,8.4
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,6.4
COCOc1cc(OC)c(OC)cc1-c1c(-c2ccc(OC)c(OC)c2)c(C(=O)N(C)C)n(CCc2ccc(OC)c(OC)c2)c1C(=O)N(C)C,7.52
COCOc1cc(OC)c(OC)cc1-c1c(-c2ccc(OC)c(OC)c2)c(C(=O)N(C)C)n(CCc2ccc(OC)c(OC)c2)c1C(=O)N(C)C,6.1
COCOc1cc(OC)c(OC)cc1-c1c(-c2ccc(OC)c(OC)c2)c(C(=O)N(C)C)n(CCc2ccc(OC)c(OC)c2)c1C(=O)N(C)C,7.7
COCOc1cc(OC)c(OC)cc1-c1c(-c2ccc(OC)c(OC)c2)c(C(=O)N(C)C)n(CCc2ccc(OC)c(OC)c2)c1C(=O)N(C)C,6.16
COCOc1cc(OC)c(OC)cc1-c1c(-c2ccc(OC)c(OC)c2)c(C(=O)N(C)C)n(CCc2ccc(OC)c(OC)c2)c1C(=O)N(C)C,4.35
COCOc1cc(OC)c(OC)cc1-c1c(-c2ccc(OC)c(OC)c2)c(C(=O)N(C)C)n(CCc2ccc(OC)c(OC)c2)c1C(=O)N(C)C,4.22
COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c(-c2cc(OC)c(OC)c(OC)c2)c(C(=O)OC)n1CCCCc1ccc(OC)c(OC)c1,8.22
COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c(-c2cc(OC)c(OC)c(OC)c2)c(C(=O)OC)n1CCCCc1ccc(OC)c(OC)c1,7.05
COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c(-c2cc(OC)c(OC)c(OC)c2)c(C(=O)OC)n1CCCCc1ccc(OC)c(OC)c1,4.0
COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c(-c2cc(OC)c(OC)c(OC)c2)c(C(=O)OC)n1CCCCc1ccc(OC)c(OC)c1,4.4
CC(C)Nc1ccc(S(=O)(=O)Nc2cccc3c(Cl)c[nH]c23)cn1,5.89
Cc1cncc(S(=O)(=O)Nc2cccc3c(Cl)c[nH]c23)c1,6.66
Cc1cncc(S(=O)(=O)Nc2cccc3c(C#N)c[nH]c23)c1,6.72
COc1ccc(/C=C/NC(=O)c2c(-c3cc(OC)c(OC)c(OC)c3)c(-c3cc(OC)c(OC)c(OC)c3)c(C(=O)N/C=C/c3ccc(OC)cc3)n2CCc2ccc(OC)cc2)cc1,8.52
COc1ccc(/C=C/NC(=O)c2c(-c3cc(OC)c(OC)c(OC)c3)c(-c3cc(OC)c(OC)c(OC)c3)c(C(=O)N/C=C/c3ccc(OC)cc3)n2CCc2ccc(OC)cc2)cc1,7.0
COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c(-c2cc(OC)c(OC)c(OC)c2)c(C(=O)OC)n1CCc1ccc(OC)c(OC)c1,7.4
COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c(-c2cc(OC)c(OC)c(OC)c2)c(C(=O)OC)n1CCc1ccc(OC)c(OC)c1,6.52
COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c(-c2cc(OC)c(OC)c(OC)c2)c(C(=O)OC)n1CCc1ccc(OC)c(OC)c1,4.16
COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c(-c2cc(OC)c(OC)c(OC)c2)c(C(=O)OC)n1CCc1ccc(OC)c(OC)c1,4.35
O=S(=O)(Nc1cccc2c(Cl)c[nH]c12)c1ccc(O)nc1,6.1
COCOc1cc(OC)c(OC)cc1-c1c(-c2ccc(OC)c(OC)c2)c(C(=O)OC)n(CCc2ccc(OC)c(OC)c2)c1C(=O)OC,8.4
COCOc1cc(OC)c(OC)cc1-c1c(-c2ccc(OC)c(OC)c2)c(C(=O)OC)n(CCc2ccc(OC)c(OC)c2)c1C(=O)OC,7.3
COCOc1cc(OC)c(OC)cc1-c1c(-c2ccc(OC)c(OC)c2)c(C(=O)OC)n(CCc2ccc(OC)c(OC)c2)c1C(=O)OC,4.05
COc1ccc(CCN2C(C(=O)N(C)C)=C(c3ccc(OC)c(OC)c3)C3c4cc(OC)c(OC)cc4OC(=O)C32)cc1OC,9.0
COc1ccc(CCN2C(C(=O)N(C)C)=C(c3ccc(OC)c(OC)c3)C3c4cc(OC)c(OC)cc4OC(=O)C32)cc1OC,7.0
COc1ccc(CCN2C(C(=O)N(C)C)=C(c3ccc(OC)c(OC)c3)C3c4cc(OC)c(OC)cc4OC(=O)C32)cc1OC,10.0
COc1ccc(CCN2C(C(=O)N(C)C)=C(c3ccc(OC)c(OC)c3)C3c4cc(OC)c(OC)cc4OC(=O)C32)cc1OC,8.05
COc1ccc(CCN2C(C(=O)N(C)C)=C(c3ccc(OC)c(OC)c3)C3c4cc(OC)c(OC)cc4OC(=O)C32)cc1OC,4.6
COc1ccc(CCN2C(C(=O)N(C)C)=C(c3ccc(OC)c(OC)c3)C3c4cc(OC)c(OC)cc4OC(=O)C32)cc1OC,4.7
COc1ccc(CCn2c(C(=O)N(C)C)c(-c3cc(OC)c(OC)c(OC)c3)c(-c3cc(OC)c(OC)c(OC)c3)c2C(=O)N(C)C)cc1,6.89
COc1ccc(CCn2c(C(=O)N(C)C)c(-c3cc(OC)c(OC)c(OC)c3)c(-c3cc(OC)c(OC)c(OC)c3)c2C(=O)N(C)C)cc1,5.25
COc1ccc(CCn2c(C(=O)N(C)C)c(-c3cc(OC)c(OC)c(OC)c3)c(-c3cc(OC)c(OC)c(OC)c3)c2C(=O)N(C)C)cc1,7.7
COc1ccc(CCn2c(C(=O)N(C)C)c(-c3cc(OC)c(OC)c(OC)c3)c(-c3cc(OC)c(OC)c(OC)c3)c2C(=O)N(C)C)cc1,6.22
CNc1ccc(S(=O)(=O)Nc2cccc3c(Cl)c[nH]c23)cn1,6.07
COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c(-c2cc(OC)c(OC)c(OC)c2)c(C(=O)OC)n1CCCc1ccc(OC)c(OC)c1,8.05
COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c(-c2cc(OC)c(OC)c(OC)c2)c(C(=O)OC)n1CCCc1ccc(OC)c(OC)c1,6.7
COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c(-c2cc(OC)c(OC)c(OC)c2)c(C(=O)OC)n1CCCc1ccc(OC)c(OC)c1,4.12
COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c(-c2cc(OC)c(OC)c(OC)c2)c(C(=O)OC)n1CCCc1ccc(OC)c(OC)c1,4.07
COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c(-c2cc(OC)c(OC)c(OC)c2)c(C(=O)OC)n1Cc1ccc(OC)c(OC)c1,7.52
COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c(-c2cc(OC)c(OC)c(OC)c2)c(C(=O)OC)n1Cc1ccc(OC)c(OC)c1,6.7
COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c(-c2cc(OC)c(OC)c(OC)c2)c(C(=O)OC)n1Cc1ccc(OC)c(OC)c1,4.0
